STATION_CODE_NRM,STATION_NAME,STATION_CODE,POS_SWEREF_TM_N,POS_SWEREF_TM_E
ABIS,Abiskojaure,00103643,7581563,650737
ALGS,Älgsjön,00106587,6551424,578455
ALLG,Allgjuttern,00103670,6423450,565053
BAST,Bästeträsk,00103967,6426113,733120
BOLM,Bolmen,00103839,6314432,425102
BRAN,Brännträsket,00103903,7282328,796406
BYSJ,Bysjön,00103941,6576700,348657
DEGE,Degervattnet,00103998,7083447,560530
FIOL,Fiolen,00104080,6327724,471640
FRAC,Fräcksjön,00104126,6448651,334207
FYSI,Fysingen,00104143,6607198,664270
GIPS,Gipsjön,00104190,6724032,424889
HJAR,Hjärtsjön,00104457,6323093,515773
HORS,Horsan,00104492,6420606,727971
KRAG,Krageholmssjön,00104725,6150682,421915
KRAN,Krankesjön,00104727,6174336,402605
LIMM,Limmingsjön T06,00133966,6605422,472916
LORE,Lilla Öresjön,00104886,6382551,340667
OVSK,Övre Skärsjön,00106738,6633388,530996
REMM,Remmarsjön,00105464,7085881,660967
SANN,Sännen,00106089,6242310,522264
SENV,Stora Envättern,00105810,6555238,634888
SKAR,Skärgölen,00105667,6404256,534732
SPJU,Spjutsjön,00105722,6722639,524357
STBA,Stor-Backsjön,00105891,6949473,475212
STBJ,Stor-Björsjön,00105896,7056647,362824
STEN,Stensjön,00105779,6835424,583611
STSK,Stora Skärsjön,00105867,6282434,381549
STVI,Storvindeln,00105985,7288327,597722
SVAR,Svartsjön,00106042,6513254,455104
TARN,Tärnan,00106258,6606904,690368
TJUL,Stor-Tjulträsket,00105971,731620,548678
